"data","preco","taxa"
2008-07-16,48.029999,-0.0155770031650543
2008-07-17,46,-0.0422652309445186
2008-07-18,46.009998,0.000217347826087023
2008-07-21,47.029999,0.0221691163733585
2008-07-22,45.52,-0.0321071450586251
2008-07-23,44.009998,-0.0331722759226714
2008-07-24,41.869999,-0.0486252919166232
2008-07-25,41.709999,-0.00382135189446736
2008-07-28,42.080002,0.00887084653250644
2008-07-29,42.540001,0.0109315346515429
2008-07-30,44.610001,0.0486600834823676
2008-07-31,43.939999,-0.0150190985200829
2008-08-01,42.279999,-0.0377787901178606
2008-08-04,40.110001,-0.0513244572214867
2008-08-05,39.650002,-0.0114684365128786
2008-08-06,40.709999,0.0267338448053547
2008-08-07,41.32,0.0149840583390827
2008-08-08,41,-0.00774443368828655
2008-08-11,39.860001,-0.0278048536585367
2008-08-12,40.200001,0.00852985427672226
2008-08-13,41.25,0.026119377459717
2008-08-14,40.900002,-0.00848479999999999
2008-08-15,40.049999,-0.0207824684213952
2008-08-18,38.900002,-0.0287140331763803
2008-08-19,40.040001,0.0293058853827307
2008-08-20,42,0.048951022753471
2008-08-21,43.310001,0.0311905
2008-08-22,43.110001,-0.00461787105477099
2008-08-25,41.650002,-0.0338668282563945
2008-08-26,42.009998,0.00864336092949053
2008-08-27,43.200001,0.0283266616675392
2008-08-28,43.299999,0.0023147684649359
2008-08-29,42.66,-0.0147805777085584
2008-09-01,41.810001,-0.0199249648382559
2008-09-02,40.810001,-0.0239177224607098
2008-09-03,40.09,-0.0176427586953501
2008-09-04,38.619999,-0.0366675230730856
2008-09-05,38.700001,0.00207151740216255
2008-09-08,36.900002,-0.0465116008653333
2008-09-09,34.32,-0.0699187495978998
2008-09-10,35.110001,0.0230186771561771
2008-09-11,38.700001,0.102250068292507
2008-09-12,40.419998,0.0444443657766314
2008-09-15,36.400002,-0.0994556209527769
2008-09-16,38.490002,0.0574175792627703
2008-09-17,36.709999,-0.0462458536635044
2008-09-18,39.299999,0.0705529847603645
2008-09-19,42.880001,0.091094200791201
2008-09-22,42.98,0.00233206617695734
2008-09-23,40.990002,-0.0463005583992555
2008-09-24,42.119999,0.0275676249052148
2008-09-25,44.049999,0.0458214635760082
2008-09-26,43.009998,-0.0236095578571976
2008-09-29,39.5,-0.0816088854503086
2008-09-30,42.220001,0.0688607848101267
2008-10-01,41.599998,-0.0146850541287293
2008-10-02,38.900002,-0.0649037531203727
2008-10-03,38.200001,-0.0179948833935793
2008-10-06,37.150002,-0.027486884097202
2008-10-07,34.950001,-0.0592194046180671
2008-10-08,33.310001,-0.0469241760536717
2008-10-09,31.040001,-0.0681477013465115
2008-10-10,30.1,-0.0302835363955046
2008-10-13,33.610001,0.116611328903654
2008-10-14,34,0.0116036592798674
2008-10-15,29.290001,-0.138529382352941
2008-10-16,26.75,-0.0867190479098994
2008-10-17,27.42,0.0250467289719627
2008-10-20,30.65,0.11779722830051
2008-10-21,30.35,-0.00978792822185961
2008-10-22,27.950001,-0.0790773970345964
2008-10-23,27,-0.0339893011095062
2008-10-24,24.25,-0.101851851851852
2008-10-27,22,-0.0927835051546392
2008-10-28,24.190001,0.0995454999999999
2008-10-29,26,0.0748242631325233
2008-10-30,28.110001,0.0811538846153846
2008-10-31,28.610001,0.0177872636859743
2008-11-03,28.190001,-0.0146801812415177
2008-11-04,31,0.0996806988406989
2008-11-05,29.809999,-0.038387129032258
2008-11-06,27.77,-0.0684333803567052
2008-11-07,28.209999,0.015844400432121
2008-11-10,29.290001,0.0382843686027781
2008-11-11,28.75,-0.0184363599031629
2008-11-12,24.940001,-0.132521704347826
2008-11-13,25.629999,0.0276663180566834
2008-11-14,25.1,-0.0206788537135721
2008-11-17,25.059999,-0.00159366533864543
2008-11-18,23.299999,-0.0702314473356524
2008-11-19,22.299999,-0.0429184567776162
2008-11-21,20.209999,-0.0937219772969496
2008-11-24,22.709999,0.123701144171259
2008-11-25,23.1,0.017173096308811
2008-11-26,24.219999,0.0484848051948052
2008-11-27,23.620001,-0.0247728333927678
2008-11-28,23.75,0.00550376776021312
2008-12-01,21.76,-0.0837894736842105
2008-12-02,21.639999,-0.00551475183823539
2008-12-03,22.84,0.055452913837935
2008-12-04,21.790001,-0.045971935201401
2008-12-05,21.5,-0.0133089025558099
2008-12-08,24.459999,0.137674372093023
2008-12-09,24.200001,-0.0106295180142894
2008-12-10,26.66,0.101652847039139
2008-12-11,26.93,0.0101275318829707
2008-12-12,27.6,0.0248793167471222
2008-12-15,27.75,0.0054347826086956
2008-12-16,28.85,0.0396396396396397
2008-12-17,29.639999,0.0273829809358751
2008-12-18,28.1,-0.0519567831294461
2008-12-19,27.889999,-0.0074733451957296
2008-12-22,26.120001,-0.0634635375928124
2008-12-23,25.889999,-0.00880558924940313
2008-12-26,26.85,0.0370799937072227
2008-12-29,27.09,0.00893854748603346
2008-12-30,27.49,0.0147655961609449
2009-01-02,29.860001,0.0862132048017462
2009-01-05,30.52,0.0221031137942694
2009-01-06,31.02,0.0163826998689384
2009-01-07,29.4,-0.0522243713733076
2009-01-08,30.950001,0.0527211224489797
2009-01-09,30.9,-0.00161554114327821
2009-01-12,28.639999,-0.0731391909385113
2009-01-13,28.74,0.00349165514984826
2009-01-14,27.68,-0.0368823938761308
2009-01-15,28.59,0.0328757225433526
2009-01-16,29,0.0143406785589367
2009-01-19,28.469999,-0.0182758965517241
2009-01-20,27.450001,-0.0358271175211492
2009-01-21,29.01,0.0568305625926936
2009-01-22,28.309999,-0.0241296449500172
2009-01-23,28.24,-0.00247258927843843
2009-01-26,28.59,0.0123937677053825
2009-01-27,28.35,-0.00839454354669459
2009-01-28,30.450001,0.0740741093474426
2009-01-29,30.02,-0.0141215430501957
2009-01-30,30.370001,0.0116589273817455
2009-02-02,29.76,-0.0200856430659978
2009-02-03,30.91,0.0386424731182795
2009-02-04,31.16,0.00808799741184083
2009-02-05,31.5,0.0109114249037227
2009-02-06,33.200001,0.0539682857142857
2009-02-09,33.610001,0.0123493972183915
2009-02-10,33.380001,-0.00684320122454019
2009-02-11,33,-0.0113840919297756
2009-02-12,32.75,-0.00757575757575758
2009-02-13,33.919998,0.0357251297709924
2009-02-16,34.25,0.00972883312080385
2009-02-17,32.310001,-0.0566423065693431
2009-02-18,31.57,-0.0229031562085064
2009-02-19,32.200001,0.019955685777637
